appid,name,release_date,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,mac,windows,linux,Free to Play,Adventure,Simulation,Sports,Indie,Strategy,Early Access,Casual,Action,Racing,RPG,Single-player,MMO,Includes level editor,VR Support,Controller Support,Online,Multi-Player,co-op,Local
10,Counter-Strike,2000-11-01,1,Valve,Valve,0,0,124534,3339,17612,317,15000000,7.19,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
20,Team Fortress Classic,1999-04-01,1,Valve,Valve,0,0,3318,633,277,62,7500000,3.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
30,Day of Defeat,2003-05-01,1,Valve,Valve,0,0,3416,398,187,34,7500000,3.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,Deathmatch Classic,2001-06-01,1,Valve,Valve,0,0,1273,267,258,184,7500000,3.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
50,Half-Life: Opposing Force,1999-11-01,1,Gearbox Software,Valve,0,0,5250,288,624,415,7500000,3.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
60,Ricochet,2000-11-01,1,Valve,Valve,0,0,2758,684,175,10,7500000,3.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
70,Half-Life,1998-11-08,1,Valve,Valve,0,0,27755,1100,1300,83,7500000,7.19,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
80,Counter-Strike: Condition Zero,2004-03-01,1,Valve,Valve,0,0,12120,1439,427,43,15000000,7.19,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
130,Half-Life: Blue Shift,2001-06-01,1,Gearbox Software,Valve,0,0,3822,420,361,205,7500000,3.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
220,Half-Life 2,2004-11-16,1,Valve,Valve,0,33,67902,2419,691,402,15000000,7.19,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
240,Counter-Strike: Source,2004-11-01,1,Valve,Valve,0,147,76640,3497,6842,400,15000000,7.19,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
280,Half-Life: Source,2004-06-01,1,Valve,Valve,0,0,3767,1053,190,214,3500000,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
300,Day of Defeat: Source,2010-07-12,1,Valve,Valve,0,54,10489,1210,1356,134,7500000,7.19,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
320,Half-Life 2: Deathmatch,2004-11-01,1,Valve,Valve,0,0,6020,787,311,32,15000000,3.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
340,Half-Life 2: Lost Coast,2005-10-27,1,Valve,Valve,0,0,5783,1020,46,29,15000000,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
360,Half-Life Deathmatch: Source,2006-05-01,1,Valve,Valve,0,0,1362,473,102,81,7500000,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
380,Half-Life 2: Episode One,2006-06-01,1,Valve,Valve,0,13,7908,517,281,184,7500000,5.79,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
400,Portal,2007-10-10,1,Valve,Valve,0,15,51801,1080,288,137,15000000,7.19,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
420,Half-Life 2: Episode Two,2007-10-10,1,Valve,Valve,0,22,13902,696,354,301,7500000,5.79,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
440,Team Fortress 2,2007-10-10,1,Valve,Valve,0,520,515879,34036,8495,623,35000000,0.0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
500,Left 4 Dead,2008-11-17,1,Valve,Valve,0,73,17951,948,897,278,7500000,7.19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1
550,Left 4 Dead 2,2009-11-19,1,Valve,Valve,0,70,251789,8418,1615,566,15000000,7.19,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1
570,Dota 2,2013-07-09,1,Valve,Valve,0,0,863507,142079,23944,801,150000000,0.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
620,Portal 2,2011-04-18,1,Valve,Valve,0,51,138220,1891,1102,520,15000000,7.19,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
630,Alien Swarm,2010-07-19,1,Valve,Valve,0,66,17435,941,371,83,3500000,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
730,Counter-Strike: Global Offensive,2012-08-21,1,Valve;Hidden Path Entertainment,Valve,0,167,2644404,402313,22494,6502,75000000,0.0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1002,Rag Doll Kung Fu,2005-10-12,1,Mark Healey,Mark Healey,0,0,40,17,0,0,35000,5.99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1200,Red Orchestra: Ostfront 41-45,2006-03-14,1,Tripwire Interactive,Tripwire Interactive,0,44,1562,223,232,258,750000,3.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1250,Killing Floor,2009-05-14,1,Tripwire Interactive,Tripwire Interactive,0,285,53710,2649,1328,306,3500000,14.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1
1300,SiN Episodes: Emergence,2006-05-10,1,Ritual Entertainment,Ritual Entertainment,0,0,468,61,0,0,150000,7.19,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1500,Darwinia,2005-07-14,1,Introversion Software,Introversion Software,0,0,472,158,182,273,750000,7.19,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1510,Uplink,2006-08-23,1,Introversion Software,Introversion Software,0,0,1602,152,65,77,750000,6.99,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1520,DEFCON,2006-09-29,1,Introversion Software,Introversion Software,0,22,2057,344,80,119,750000,7.19,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1530,Multiwinia,2008-09-19,1,Introversion Software,Introversion Software,0,12,368,75,121,224,750000,7.19,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1600,Dangerous Waters,2006-02-07,1,Sonalysts,Strategy First,0,0,140,44,0,0,75000,22.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1610,Space Empires IV Deluxe,2006-02-07,1,Malfador Machinations,Strategy First,0,0,112,26,0,0,75000,6.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1630,Disciples II: Rise of the Elves ,2006-07-06,1,Strategy First,Strategy First,0,0,451,108,0,0,150000,4.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
